,City,State,Median_Age,Male_Population,Female_Population,Total_Population,Number_of_Veterans,Foreign-born,Average_household_size,State_code,Race,Count
2392,Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,Hispanic or Latino,1936732
2393,Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,Hispanic or Latino,33229
2394,Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL,White,86328
2395,Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,American Indian and Alaska Native,881
2396,Fullerton,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.97,CA,Hispanic or Latino,53459
2397,Lake Forest,California,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76,CA,Hispanic or Latino,17410
2398,Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,Black or African-American,54200
2399,Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,Black or African-American,12265
2400,Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,Black or African-American,3891
2401,Laguna Niguel,California,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58,CA,Asian,8499
2402,Pine Hills,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL,White,10029
2403,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,White,43537
2404,Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,Hispanic or Latino,19395
2405,Oxnard,California,31.0,101906.0,105346.0,207252,6367.0,78678.0,4.08,CA,Hispanic or Latino,154911
2406,Bossier City,Louisiana,32.7,33428.0,34669.0,68097,8108.0,2980.0,2.4,LA,Black or African-American,19520
2407,Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,Black or African-American,11697
2408,Eugene,Oregon,33.4,79071.0,84377.0,163448,8896.0,14503.0,2.34,OR,American Indian and Alaska Native,5035
2409,Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,Hispanic or Latino,22089
2410,Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,Asian,14608
2411,Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN,Hispanic or Latino,2639
2412,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,American Indian and Alaska Native,1112
2413,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,Black or African-American,7821
2414,Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,White,43766
